id,domain_id,domain,npc.role,npc.role_style,npc.roleplay_style,dialogue.question_tr,dialogue.question_en,dialogue.answer_tr,dialogue.answer_en,labels.intent,labels.player_intent,labels.emotion,labels.game_context,labels.difficulty_level,tags.tr,tags.en
168,EXP_PHY_MAG_168,physics,virtual_physics_teacher,systematic,guiding,Aynı kutuplar birbirine nasıl davranır?,How do like poles behave towards each other?, Birbirinden uzaklaşacak şekilde iter.,It pushes them away from each other.,CONCEPT_EXPLAIN,ask_information,informative,tutorial,easy,"manyetizma, etkileşim","magclearism, interaction"
176,EXP_PHY_NUC_176,physics,virtual_physics_teacher,systematic,guiding,Kararsız atom çekirdeklerinin enerji yayması ne ad alır?,What is it called when unstable atomic nuclei release energy?, Kararsız atom çekirdeklerinin enerji yaymasıdır.,It is the release of energy from unstable atomic nuclei.,CONCEPT_EXPLAIN,ask_information,informative,tutorial,medium,"nükleer, radyoaktivite","nuclear, radioactivity"
251,EXP_PHY_ELE_201,physics,virtual_physics_teacher,guiding,guiding,Elektriksel iletkenlik nedir?,What is electrical conductivity?,Maddenin elektrik akımını iletebilme yeteneğidir.,It is the ability of matter to conduct electric current.,CONCEPT_EXPLAIN,ask_definition,informative,tutorial,easy,"elektrik, iletkenlik","electricity, conductivity"
627,EXP_CHM_DIF_093,chemistry,virtual_chemistry_teacher,simple,supportive,Difüzyon moleküler düzeyde mi başlar?,Does diffusion begin at the molecular level?,Evet.,Yes.,CONCEPT_EXPLAIN,ask_information,informative,tutorial,medium,"moleküler, difüzyon, mikro","molecular, diffusion, micro"
635,EXP_CHM_EFF_001,chemistry,virtual_chemistry_teacher,simple,supportive,Efüzyon nedir?,What is effusion?,Gazın çok küçük bir delikten geçmesidir.,It is the passage of gas through a very small hole.,CONCEPT_EXPLAIN,ask_definition,informative,tutorial,easy,"efüzyon, gazlar, temel","effusion, gases, basic"
774,EXP_CHM_ATO_003,chemistry,virtual_chemistry_teacher,comparative,supportive,Atom numarası ile kütle numarası arasındaki fark nedir?,What is the difference between atomic number and mass number?,"Atom numarası proton sayısıdır, kütle numarası proton ve nötron toplamıdır.","The atomic number is the number of protons, and the mass number is the total number of protons and neutrons.",CONCEPT_EXPLAIN,ask_definition,informative,tutorial,easy,"atom, karşılaştırma, yapı","atom, comparison, structure"
1119,EXP_MAT_ALG_092,mathematics,virtual_math_teacher,instructional,supportive,(x + 2)(x + 3) işleminin sonucu nedir?,What is the result of the operation (x + 2)(x + 3)?,x² + 5x + 6,x² + 5x + 6,PROBLEM_SOLVE,request_help,informative,quest_start,medium,"polinom, çarpma, örnek","polynomial, multiplication, example"
1148,EXP_MAT_FUN_017,mathematics,virtual_math_teacher,descriptive,supportive,Eğim nedir?,What is slope?,y’deki değişimin x’teki değişime oranıdır.,It is the ratio of the change in y to the change in x.,CONCEPT_EXPLAIN,ask_definition,informative,tutorial,easy,"eğim, tanım, oran","slope, definition, ratio"
1193,EXP_MAT_RAT_004,mathematics,virtual_math_teacher,analytical,supportive,2:3 oranı nasıl kesir olarak yazılır?,How do you write the ratio 2:3 as a fraction?,2/3 şeklinde yazılır.,It is written as 2/3.,CONCEPT_EXPLAIN,ask_information,informative,tutorial,easy,"oran, kesir, dönüşüm","ratio, fraction, conversion"
1355,EXP_BIO_FNC_002,biology,virtual_bio_teacher,systematic,supportive,Bir süreçte ilerleme nasıl tanımlanır?,How is progress defined in a process?, Canlının olgunlaşma sürecidir.,It is the maturation process of a living organism.,CONCEPT_EXPLAIN,ask_information,informative,tutorial,easy,"gelişme, olgunlaşma, biyoloji","development, maturation, biology"
1356,EXP_BIO_ALJ_003,biology,virtual_bio_teacher,visual,supportive,Canlıların neslini sürdürebilmesi neye bağlıdır?,What does the survival of living things depend on?, Neslin devamını sağlar.,It ensures the continuation of the species.,CONCEPT_EXPLAIN,ask_information,informative,tutorial,easy,"üreme, tür_devamlılığı, canlılar","reproduction, species_continuity, organisms"
1387,EXP_BIO_ALJ_055,biology,virtual_bio_teacher,simple,supportive,Canlı türlerinin çeşitliliği ne anlama gelir?,What does biodiversity mean?, Canlı türleri ve geclearik farklılıkların çeşitliliğidir.,It is the diversity of living species and geclearic differences.,CONCEPT_EXPLAIN,ask_information,informative,tutorial,easy,"biyoçeşitlilik, ekoloji, yaşam","biodiversity, ecology, life"
1878,EXP_HIS_ANC_016,history,virtual_history_teacher,descriptive,supportive,Lidyalıların en önemli buluşu nedir?,What is the most important invention of the Lydians?,Parayı icat etmeleridir.,They invented money.,CONCEPT_EXPLAIN,ask_information,informative,tutorial,easy,"lidya, para, ekonomi","Lydia, money, economy"
1900,EXP_HIS_ANC_038,history,virtual_history_teacher,descriptive,supportive,Zigguratlar hangi uygarlığa aittir?,To which civilization do the ziggurats belong?,Sümerlere aittir.,It belongs to the Sumerians.,CONCEPT_EXPLAIN,ask_information,informative,tutorial,easy,"ziggurat, sümer, mimari","ziggurat, Sumer, architecture"
2035,EXP_HIS_PRE_023,history,virtual_history_teacher,simple,supportive,İlk Türklerin inanç sistemi nedir?,What was the belief system of the early Turks?,Gök Tanrı inancıdır.,It is the belief in the Sky God.,CONCEPT_EXPLAIN,ask_definition,informative,tutorial,easy,"gök_tanrı, inanç, türkler","sky_god, belief, turks"
2336,EXP_GEO_GIR_016,geography,virtual_geography_teacher,analytical,supportive,Coğrafyada gözlem yöntemi ne amaçla kullanılır?,What is the purpose of the observation method in geography?,Doğal ve beşeri olayları yerinde incelemek için kullanılır.,It is used to investigate natural and man-made events on site.,CONCEPT_EXPLAIN,ask_definition,neutral,tutorial,very_easy,"gözlem, yöntem, araştırma","observation, method, research"
